"REF_DATE","GEO","DGUID","Persons in low income","Low income lines","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Newfoundland and Labrador","2021A000210","Persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132435","3.13.6.2","5.9","D","","","1"
"2022","Newfoundland and Labrador","2021A000210","Persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132435","3.13.6.2","6.0","C","","","1"
"2021","Newfoundland and Labrador","2021A000210","Persons not in an economic family","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132473","3.26.6.1","16","D","","","0"
"2022","Newfoundland and Labrador","2021A000210","Persons not in an economic family","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132473","3.26.6.1","24","C","","","0"
"2021","Newfoundland and Labrador","2021A000210","Persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132474","3.26.6.2","19.9","D","","","1"
"2022","Newfoundland and Labrador","2021A000210","Persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132474","3.26.6.2","29.5","C","","","1"
"2021","Prince Edward Island","2021A000211","All persons","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132500","4.1.6.1","12","D","","","0"
"2022","Prince Edward Island","2021A000211","All persons","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132500","4.1.6.1","16","C","","","0"
"2021","Prince Edward Island","2021A000211","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132501","4.1.6.2","7.4","D","","","1"
"2022","Prince Edward Island","2021A000211","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132501","4.1.6.2","9.8","C","","","1"
"2021","Prince Edward Island","2021A000211","Persons under 18 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132503","4.2.6.1","","F","","","0"
"2022","Prince Edward Island","2021A000211","Persons under 18 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132503","4.2.6.1","3","E","","","0"
"2021","Prince Edward Island","2021A000211","Persons under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132504","4.2.6.2","4.4","E","","","1"
"2022","Prince Edward Island","2021A000211","Persons under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132504","4.2.6.2","8.3","E","","","1"
"2021","Prince Edward Island","2021A000211","Persons 18 to 64 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132506","4.3.6.1","9","D","","","0"
"2022","Prince Edward Island","2021A000211","Persons 18 to 64 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132506","4.3.6.1","11","C","","","0"
"2021","Prince Edward Island","2021A000211","Persons 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132507","4.3.6.2","8.8","D","","","1"
"2022","Prince Edward Island","2021A000211","Persons 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132507","4.3.6.2","10.6","C","","","1"
"2021","Prince Edward Island","2021A000211","Persons 65 years and over","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132509","4.4.6.1","2","E","","","0"
"2022","Prince Edward Island","2021A000211","Persons 65 years and over","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132509","4.4.6.1","3","D","","","0"
"2021","Prince Edward Island","2021A000211","Persons 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132510","4.4.6.2","5.7","E","","","1"
"2022","Prince Edward Island","2021A000211","Persons 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132510","4.4.6.2","8.6","D","","","1"
"2021","Prince Edward Island","2021A000211","Males","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132512","4.5.6.1","5","E","","","0"
"2022","Prince Edward Island","2021A000211","Males","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132512","4.5.6.1","8","C","","","0"
"2021","Prince Edward Island","2021A000211","Males","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132513","4.5.6.2","6.3","E","","","1"
"2022","Prince Edward Island","2021A000211","Males","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132513","4.5.6.2","9.3","C","","","1"
"2021","Prince Edward Island","2021A000211","Males, under 18 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132515","4.6.6.1","","F","","","0"
"2022","Prince Edward Island","2021A000211","Males, under 18 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132515","4.6.6.1","1","E","","","0"
"2021","Prince Edward Island","2021A000211","Males, under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132516","4.6.6.2","","F","","","1"
"2022","Prince Edward Island","2021A000211","Males, under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132516","4.6.6.2","7.2","E","","","1"
"2021","Prince Edward Island","2021A000211","Males, 18 to 64 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132518","4.7.6.1","4","E","","","0"
"2022","Prince Edward Island","2021A000211","Males, 18 to 64 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132518","4.7.6.1","5","D","","","0"
"2021","Prince Edward Island","2021A000211","Males, 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132519","4.7.6.2","7.3","E","","","1"
"2022","Prince Edward Island","2021A000211","Males, 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132519","4.7.6.2","10.3","D","","","1"
"2021","Prince Edward Island","2021A000211","Males, 65 years and over","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132521","4.8.6.1","","F","","","0"
"2022","Prince Edward Island","2021A000211","Males, 65 years and over","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132521","4.8.6.1","1","D","","","0"
"2021","Prince Edward Island","2021A000211","Males, 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132522","4.8.6.2","","F","","","1"
"2022","Prince Edward Island","2021A000211","Males, 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132522","4.8.6.2","7.8","D","","","1"
"2021","Prince Edward Island","2021A000211","Females","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132524","4.9.6.1","7","D","","","0"
"2022","Prince Edward Island","2021A000211","Females","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132524","4.9.6.1","9","C","","","0"
"2021","Prince Edward Island","2021A000211","Females","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132525","4.9.6.2","8.4","D","","","1"
"2022","Prince Edward Island","2021A000211","Females","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132525","4.9.6.2","10.2","C","","","1"
"2021","Prince Edward Island","2021A000211","Females, under 18 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132527","4.10.6.1","","F","","","0"
"2022","Prince Edward Island","2021A000211","Females, under 18 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132527","4.10.6.1","1","E","","","0"
"2021","Prince Edward Island","2021A000211","Females, under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132528","4.10.6.2","","F","","","1"
"2022","Prince Edward Island","2021A000211","Females, under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132528","4.10.6.2","9.3","E","","","1"
"2021","Prince Edward Island","2021A000211","Females, 18 to 64 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132530","4.11.6.1","5","E","","","0"
"2022","Prince Edward Island","2021A000211","Females, 18 to 64 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132530","4.11.6.1","6","C","","","0"
"2021","Prince Edward Island","2021A000211","Females, 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132531","4.11.6.2","10.3","E","","","1"
"2022","Prince Edward Island","2021A000211","Females, 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132531","4.11.6.2","10.8","C","","","1"
"2021","Prince Edward Island","2021A000211","Females, 65 years and over","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132533","4.12.6.1","","F","","","0"
"2022","Prince Edward Island","2021A000211","Females, 65 years and over","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132533","4.12.6.1","2","D","","","0"
"2021","Prince Edward Island","2021A000211","Females, 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132534","4.12.6.2","6.6","E","","","1"
"2022","Prince Edward Island","2021A000211","Females, 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132534","4.12.6.2","9.4","D","","","1"
"2021","Prince Edward Island","2021A000211","Persons in economic families","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132536","4.13.6.1","6","E","","","0"
"2022","Prince Edward Island","2021A000211","Persons in economic families","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132536","4.13.6.1","9","D","","","0"
"2021","Prince Edward Island","2021A000211","Persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132537","4.13.6.2","4.3","E","","","1"
"2022","Prince Edward Island","2021A000211","Persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132537","4.13.6.2","6.4","D","","","1"
"2021","Prince Edward Island","2021A000211","Persons not in an economic family","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132575","4.26.6.1","6","D","","","0"
"2022","Prince Edward Island","2021A000211","Persons not in an economic family","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132575","4.26.6.1","7","C","","","0"
"2021","Prince Edward Island","2021A000211","Persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132576","4.26.6.2","22.7","D","","","1"
"2022","Prince Edward Island","2021A000211","Persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132576","4.26.6.2","26.2","C","","","1"
"2021","Nova Scotia","2021A000212","All persons","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132602","5.1.6.1","83","C","","","0"
"2022","Nova Scotia","2021A000212","All persons","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132602","5.1.6.1","130","B","","","0"
"2021","Nova Scotia","2021A000212","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132603","5.1.6.2","8.6","C","","","1"
"2022","Nova Scotia","2021A000212","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132603","5.1.6.2","13.1","B","","","1"
"2021","Nova Scotia","2021A000212","Persons under 18 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132605","5.2.6.1","10","E","","","0"
"2022","Nova Scotia","2021A000212","Persons under 18 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132605","5.2.6.1","24","D","","","0"
"2021","Nova Scotia","2021A000212","Persons under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132606","5.2.6.2","6.1","E","","","1"
"2022","Nova Scotia","2021A000212","Persons under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132606","5.2.6.2","14.0","D","","","1"
"2021","Nova Scotia","2021A000212","Persons 18 to 64 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132608","5.3.6.1","53","D","","","0"
"2022","Nova Scotia","2021A000212","Persons 18 to 64 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132608","5.3.6.1","83","B","","","0"
"2021","Nova Scotia","2021A000212","Persons 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132609","5.3.6.2","9.1","D","","","1"
"2022","Nova Scotia","2021A000212","Persons 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132609","5.3.6.2","13.8","B","","","1"
"2021","Nova Scotia","2021A000212","Persons 65 years and over","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132611","5.4.6.1","19","D","","","0"
"2022","Nova Scotia","2021A000212","Persons 65 years and over","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132611","5.4.6.1","23","C","","","0"
"2021","Nova Scotia","2021A000212","Persons 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132612","5.4.6.2","9.1","D","","","1"
"2022","Nova Scotia","2021A000212","Persons 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132612","5.4.6.2","10.4","C","","","1"
"2021","Nova Scotia","2021A000212","Males","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132614","5.5.6.1","35","D","","","0"
"2022","Nova Scotia","2021A000212","Males","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132614","5.5.6.1","63","C","","","0"
"2021","Nova Scotia","2021A000212","Males","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132615","5.5.6.2","7.5","D","","","1"
"2022","Nova Scotia","2021A000212","Males","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132615","5.5.6.2","13.0","B","","","1"
"2021","Nova Scotia","2021A000212","Males, under 18 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132617","5.6.6.1","","F","","","0"
"2022","Nova Scotia","2021A000212","Males, under 18 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132617","5.6.6.1","13","D","","","0"
"2021","Nova Scotia","2021A000212","Males, under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132618","5.6.6.2","5.2","E","","","1"
"2022","Nova Scotia","2021A000212","Males, under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132618","5.6.6.2","14.9","D","","","1"
"2021","Nova Scotia","2021A000212","Males, 18 to 64 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132620","5.7.6.1","23","D","","","0"
"2022","Nova Scotia","2021A000212","Males, 18 to 64 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132620","5.7.6.1","40","B","","","0"
"2021","Nova Scotia","2021A000212","Males, 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132621","5.7.6.2","7.9","D","","","1"
"2022","Nova Scotia","2021A000212","Males, 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132621","5.7.6.2","13.7","B","","","1"
"2021","Nova Scotia","2021A000212","Males, 65 years and over","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132623","5.8.6.1","8","E","","","0"
"2022","Nova Scotia","2021A000212","Males, 65 years and over","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132623","5.8.6.1","10","D","","","0"
"2021","Nova Scotia","2021A000212","Males, 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132624","5.8.6.2","8.1","E","","","1"
"2022","Nova Scotia","2021A000212","Males, 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132624","5.8.6.2","9.3","D","","","1"
"2021","Nova Scotia","2021A000212","Females","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132626","5.9.6.1","48","D","","","0"
"2022","Nova Scotia","2021A000212","Females","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132626","5.9.6.1","67","B","","","0"
"2021","Nova Scotia","2021A000212","Females","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132627","5.9.6.2","9.6","D","","","1"
"2022","Nova Scotia","2021A000212","Females","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132627","5.9.6.2","13.2","B","","","1"
"2021","Nova Scotia","2021A000212","Females, under 18 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132629","5.10.6.1","","F","","","0"
"2022","Nova Scotia","2021A000212","Females, under 18 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132629","5.10.6.1","11","D","","","0"
"2021","Nova Scotia","2021A000212","Females, under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132630","5.10.6.2","7.1","E","","","1"
"2022","Nova Scotia","2021A000212","Females, under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132630","5.10.6.2","13.1","D","","","1"
"2021","Nova Scotia","2021A000212","Females, 18 to 64 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132632","5.11.6.1","31","D","","","0"
"2022","Nova Scotia","2021A000212","Females, 18 to 64 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132632","5.11.6.1","43","B","","","0"
"2021","Nova Scotia","2021A000212","Females, 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132633","5.11.6.2","10.2","D","","","1"
"2022","Nova Scotia","2021A000212","Females, 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132633","5.11.6.2","13.9","B","","","1"
"2021","Nova Scotia","2021A000212","Females, 65 years and over","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132635","5.12.6.1","11","D","","","0"
"2022","Nova Scotia","2021A000212","Females, 65 years and over","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132635","5.12.6.1","13","C","","","0"
"2021","Nova Scotia","2021A000212","Females, 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132636","5.12.6.2","9.9","D","","","1"
"2022","Nova Scotia","2021A000212","Females, 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132636","5.12.6.2","11.3","C","","","1"
"2021","Nova Scotia","2021A000212","Persons in economic families","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132638","5.13.6.1","35","D","","","0"
"2022","Nova Scotia","2021A000212","Persons in economic families","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132638","5.13.6.1","68","C","","","0"
"2021","Nova Scotia","2021A000212","Persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132639","5.13.6.2","4.5","D","","","1"
"2022","Nova Scotia","2021A000212","Persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132639","5.13.6.2","8.5","C","","","1"
"2021","Nova Scotia","2021A000212","Persons not in an economic family","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132677","5.26.6.1","47","D","","","0"
"2022","Nova Scotia","2021A000212","Persons not in an economic family","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132677","5.26.6.1","61","B","","","0"
"2021","Nova Scotia","2021A000212","Persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132678","5.26.6.2","26.1","D","","","1"
"2022","Nova Scotia","2021A000212","Persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132678","5.26.6.2","32.6","B","","","1"
"2021","New Brunswick","2021A000213","All persons","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132704","6.1.6.1","51","C","","","0"
"2022","New Brunswick","2021A000213","All persons","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132704","6.1.6.1","85","B","","","0"
"2021","New Brunswick","2021A000213","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132705","6.1.6.2","6.7","C","","","1"
"2022","New Brunswick","2021A000213","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132705","6.1.6.2","10.9","B","","","1"
"2021","New Brunswick","2021A000213","Persons under 18 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132707","6.2.6.1","10","E","","","0"
"2022","New Brunswick","2021A000213","Persons under 18 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132707","6.2.6.1","16","D","","","0"
"2021","New Brunswick","2021A000213","Persons under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132708","6.2.6.2","7.2","E","","","1"
"2022","New Brunswick","2021A000213","Persons under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132708","6.2.6.2","11.3","D","","","1"
"2021","New Brunswick","2021A000213","Persons 18 to 64 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132710","6.3.6.1","32","D","","","0"
"2022","New Brunswick","2021A000213","Persons 18 to 64 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132710","6.3.6.1","55","B","","","0"
"2021","New Brunswick","2021A000213","Persons 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132711","6.3.6.2","7.0","D","","","1"
"2022","New Brunswick","2021A000213","Persons 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132711","6.3.6.2","11.7","B","","","1"
"2021","New Brunswick","2021A000213","Persons 65 years and over","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132713","6.4.6.1","10","D","","","0"
"2022","New Brunswick","2021A000213","Persons 65 years and over","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132713","6.4.6.1","15","C","","","0"
"2021","New Brunswick","2021A000213","Persons 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132714","6.4.6.2","5.6","D","","","1"
"2022","New Brunswick","2021A000213","Persons 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132714","6.4.6.2","8.2","C","","","1"
"2021","New Brunswick","2021A000213","Males","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132716","6.5.6.1","22","D","","","0"
"2022","New Brunswick","2021A000213","Males","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132716","6.5.6.1","41","C","","","0"
"2021","New Brunswick","2021A000213","Males","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132717","6.5.6.2","5.8","D","","","1"
"2022","New Brunswick","2021A000213","Males","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132717","6.5.6.2","10.4","C","","","1"
"2021","New Brunswick","2021A000213","Males, under 18 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132719","6.6.6.1","","F","","","0"
"2022","New Brunswick","2021A000213","Males, under 18 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132719","6.6.6.1","8","D","","","0"
"2021","New Brunswick","2021A000213","Males, under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132720","6.6.6.2","6.3","E","","","1"
"2022","New Brunswick","2021A000213","Males, under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132720","6.6.6.2","11.7","D","","","1"
"2021","New Brunswick","2021A000213","Males, 18 to 64 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132722","6.7.6.1","14","D","","","0"
"2022","New Brunswick","2021A000213","Males, 18 to 64 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132722","6.7.6.1","27","C","","","0"
"2021","New Brunswick","2021A000213","Males, 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132723","6.7.6.2","6.4","D","","","1"
"2022","New Brunswick","2021A000213","Males, 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132723","6.7.6.2","11.5","C","","","1"
"2021","New Brunswick","2021A000213","Males, 65 years and over","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132725","6.8.6.1","","F","","","0"
"2022","New Brunswick","2021A000213","Males, 65 years and over","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132725","6.8.6.1","5","D","","","0"
"2021","New Brunswick","2021A000213","Males, 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132726","6.8.6.2","3.9","E","","","1"
"2022","New Brunswick","2021A000213","Males, 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132726","6.8.6.2","6.2","D","","","1"
"2021","New Brunswick","2021A000213","Females","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132728","6.9.6.1","29","D","","","0"
"2022","New Brunswick","2021A000213","Females","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132728","6.9.6.1","45","B","","","0"
"2021","New Brunswick","2021A000213","Females","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132729","6.9.6.2","7.6","D","","","1"
"2022","New Brunswick","2021A000213","Females","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132729","6.9.6.2","11.3","B","","","1"
"2021","New Brunswick","2021A000213","Females, under 18 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132731","6.10.6.1","5","E","","","0"
"2022","New Brunswick","2021A000213","Females, under 18 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132731","6.10.6.1","7","D","","","0"
"2021","New Brunswick","2021A000213","Females, under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132732","6.10.6.2","8.1","E","","","1"
"2022","New Brunswick","2021A000213","Females, under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132732","6.10.6.2","10.8","D","","","1"
"2021","New Brunswick","2021A000213","Females, 18 to 64 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132734","6.11.6.1","17","D","","","0"
"2022","New Brunswick","2021A000213","Females, 18 to 64 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132734","6.11.6.1","28","C","","","0"
"2021","New Brunswick","2021A000213","Females, 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132735","6.11.6.2","7.6","D","","","1"
"2022","New Brunswick","2021A000213","Females, 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132735","6.11.6.2","11.9","C","","","1"
"2021","New Brunswick","2021A000213","Females, 65 years and over","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132737","6.12.6.1","7","D","","","0"
"2022","New Brunswick","2021A000213","Females, 65 years and over","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132737","6.12.6.1","10","C","","","0"
